name,position,team,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,team_a_score,team_h_score,total_points,value,was_home,yellow_cards,GW,matchFile,homeTeamID,awayTeamID,goals_scored_distribution
Niclas Füllkrug,FWD,West Ham,0,0,0,27,7,0,0,0,0,2,0,1,70,False,0,2,CRYWHU,18,6,"{""0"": 0.7574500178189166, ""1"": 0.23181774519064313, ""2"": 0.010732236990440833, ""3"": 0}"
Harvey Barnes,MID,Newcastle,0,0,0,32,3,0,0,0,0,1,1,5,65,False,0,2,BOUNEW,14,2,"{""0"": 0.8388569205999377, ""1"": 0.16114307940006278, ""3"": 0, ""2"": 0}"
Brennan Johnson,MID,Spurs,1,0,0,90,8,0,0,0,0,0,4,3,65,True,0,2,TOTEVE,17,7,"{""0"": 0.8204700350761416, ""1"": 0.17952996492385886, ""3"": 0, ""2"": 0}"
Andrew Moran,MID,Brighton,0,0,0,0,14,0,0,0,0,1,2,0,50,True,0,2,BHAMNU,4,13,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Harry Maguire,DEF,Man Utd,0,1,0,78,5,0,0,0,0,1,2,2,50,False,0,2,BHAMNU,13,4,"{""0"": 0.9614234790205958, ""1"": 0.03857652097940467, ""3"": 0, ""2"": 0}"
Mark Travers,GK,Bournemouth,0,0,0,0,15,0,0,0,0,1,1,0,45,True,0,2,BOUNEW,0,14,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Will Smallbone,MID,Southampton,0,1,0,83,16,0,0,0,0,1,0,2,50,True,0,2,SOUNOT,16,15,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Mykhailo Mudryk,MID,Chelsea,0,2,0,45,20,0,0,0,0,6,2,1,65,False,0,2,WOVCHE,5,19,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Hamed Traorè,MID,Bournemouth,0,0,0,0,15,0,0,0,0,1,1,0,45,True,0,2,BOUNEW,0,14,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Stefan Ortega Moreno,GK,Man City,0,0,0,0,10,0,0,0,0,1,4,0,55,True,0,2,MNCIPS,12,9,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Renato Palma Veiga,MID,Chelsea,0,0,0,7,20,0,0,0,0,6,2,1,45,False,0,2,WOVCHE,5,19,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Eberechi Eze,MID,Crystal Palace,0,2,0,90,19,0,0,0,0,2,0,2,70,True,0,2,CRYWHU,6,18,"{""0"": 0.6097400878337058, ""1"": 0.33749977895083083, ""2"": 0.05048545880451827, ""3"": 0.0022746744109462813}"
Samuel Iling-Junior,MID,Aston Villa,0,0,0,0,1,0,0,0,0,2,0,0,55,True,0,2,AVLARS,2,0,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Boubacar Kamara,MID,Aston Villa,0,0,0,0,1,0,0,0,0,2,0,0,50,True,0,2,AVLARS,2,0,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Ali Al-Hamadi,FWD,Ipswich,0,1,0,7,13,0,0,0,0,1,4,0,50,False,1,2,MNCIPS,9,12,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Willy Boly,DEF,Nott'm Forest,0,0,0,1,17,0,0,0,0,1,0,1,45,False,0,2,SOUNOT,15,16,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Carlos Alcaraz Durán,MID,Southampton,0,0,0,0,16,0,0,0,0,1,0,0,50,True,0,2,SOUNOT,16,15,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Victor Lindelöf,DEF,Man Utd,0,0,0,0,5,0,0,0,0,1,2,0,45,False,0,2,BHAMNU,13,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Ross Barkley,MID,Aston Villa,0,1,0,14,1,0,0,0,0,2,0,1,54,True,0,2,AVLARS,2,0,"{""0"": 0.9772451389580967, ""1"": 0.022754861041903718, ""3"": 0, ""2"": 0}"
James McConnell,MID,Liverpool,0,0,0,0,4,0,0,0,0,0,2,0,45,True,0,2,LIVBRE,11,3,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Kobbie Mainoo,MID,Man Utd,0,2,0,90,5,0,0,0,0,1,2,1,55,False,1,2,BHAMNU,13,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Ramón Sosa,MID,Nott'm Forest,0,0,0,0,17,0,0,0,0,1,0,0,55,False,0,2,SOUNOT,15,16,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Sander Berge,MID,Fulham,0,0,0,0,11,0,0,0,0,1,2,0,50,True,0,2,FULLCI,8,10,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Adam Armstrong,FWD,Southampton,0,1,0,70,16,0,0,0,0,1,0,1,55,True,1,2,SOUNOT,16,15,"{""0"": 0.9808861929923298, ""1"": 0.019113807007670625, ""3"": 0, ""2"": 0}"
Aaron Cresswell,DEF,West Ham,0,0,0,1,7,0,0,0,0,2,0,1,40,False,0,2,CRYWHU,18,6,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Emil Krafth,DEF,Newcastle,0,1,0,90,3,0,0,0,0,1,1,2,45,False,0,2,BOUNEW,14,2,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Jakub Kiwior,DEF,Arsenal,0,0,0,0,2,0,0,0,0,2,0,0,50,False,0,2,AVLARS,1,1,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Kristoffer Ajer,DEF,Brentford,0,2,0,90,12,0,0,0,0,0,2,1,45,False,0,2,LIVBRE,3,11,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Will Hughes,MID,Crystal Palace,0,0,0,0,19,0,0,0,0,2,0,0,50,True,0,2,CRYWHU,6,18,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
David Ozoh,MID,Crystal Palace,0,0,0,0,19,0,0,0,0,2,0,0,45,True,0,2,CRYWHU,6,18,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
